Domain,Number of DNS requests,Missed DNS requests missed,Number of Packets,Number of Bytes,Estimated Packets,Estimated Bytes
kpu.samsungelectronics.com,0,0,0,0,0,0
lcprd1.samsungcloudsolution.net,0,0,0,0,0,0
log-config.samsungacr.com,0,0,0,0,0,0
log-ingestion-eu.samsungacr.com,0,0,0,0,0,0
log.samsunghrm.com,0,0,0,0,0,0
logsink.devices.nest.com,0,0,0,0,0,0
notice.samsungcloudsolution.com,0,0,0,0,0,0
oauth.ring.com,2,0,0,0,0.0,0.0
ocfconnect-shard-na03-useast2.samsungiotcloud.com,0,0,0,0,0,0
ontprd10.samsungcloudsolution.net,0,0,0,0,0,0
osb-apps.samsungqbe.com,0,0,0,0,0,0
osb-eusvc.samsungqbe.com,0,0,0,0,0,0
osb.samsungqbe.com,0,0,0,0,0,0
prd-use2-pdss-sync.aibixby.com,0,0,0,0,0,0
prd-use2-user.aibixby.com,0,0,0,0,0,0
qoe.samsungcloud.tv,0,0,0,0,0,0
sas.samsungcloudsolution.com,0,0,0,0,0,0
shome.sca.samsung.com,0,0,0,0,0,0
time.samsungcloudsolution.com,0,0,0,0,0,0
uimetadata.samsungiotcloud.com,0,0,0,0,0,0
us-fhapi.cspserver.net,0,0,0,0,0,0
weather.nest.com,0,0,0,0,0,0
www.samsungotn.net,4,0,25,1622,25.0,1622.0
xpu.samsungelectronics.com,0,0,0,0,0,0
zpu.samsungelectronics.com,0,0,0,0,0,0
11-devaccess.myzmodo.com,0,0,0,0,0,0
12-alertsfile.myzmodo.com,0,0,0,0,0,0
12-devaccess.myzmodo.com,0,0,0,0,0,0
13-devaccess.myzmodo.com,0,0,0,0,0,0
14-devaccess.myzmodo.com,0,0,0,0,0,0
21-alertsfile.myzmodo.com,0,0,0,0,0,0
22-alertsfile.myzmodo.com,0,0,0,0,0,0
a3.tuyaus.com,0,0,0,0,0,0
ak.myappkettle.com,0,0,0,0,0,0
amarillo.sw.roku.com,0,0,0,0,0,0
amcrestview.com,0,0,0,0,0,0
api.eu.xiaoyi.com,0,0,0,0,0,0
api.gdxp.com,0,0,0,0,0,0
api.roku.com,0,0,0,0,0,0
api.rokutime.com,0,0,0,0,0,0
api.smartthings.com,15,0,0,0,0.0,0.0
api.sr.roku.com,0,0,0,0,0,0
api.us.xiaoyi.com,4,0,0,0,0.0,0.0
a.tuyaeu.com,0,0,0,0,0,0
a.tuyaus.com,0,0,0,0,0,0
command-13.amcrestcloud.com,0,0,0,0,0,0
config.amcrestcloud.com,0,0,0,0,0,0
configsvc.cs.roku.com,0,0,0,0,0,0
cooper.logs.roku.com,4,0,34,2268,34.0,2268.0
cooper.sb.roku.com,0,0,0,0,0,0
cooper.sw.roku.com,0,0,0,0,0,0
cs-prde.immedia-semi.com,0,0,0,0,0,0
cs-u002.immedia-semi.com,0,0,0,0,0,0
dcp.dc1.philips.com,0,0,0,0,0,0
deventry.tplinkcloud.com,0,0,0,0,0,0
dh.amcrestsecurity.com,0,0,0,0,0,0
diagnostics.meethue.com,0,0,0,0,0,0
display.ravm.tv,0,0,0,0,0,0
dlg.io.mi.com,0,0,0,0,0,0
es.ring.com,0,0,0,0,0,0
eu.cloud.sengled.com,0,0,0,0,0,0
eu-life2.cloud.sengled.com,0,0,0,0,0,0
euw1-api.tplinkra.com,0,0,0,0,0,0
fw.ring.com,0,0,0,0,0,0
fw-update2.smartthings.com,3,0,0,0,0.0,0.0
fwuprod.clouddevice.io,0,0,0,0,0,0
hubstatus.insteon.com,0,0,0,0,0,0
iot.meross.com,0,0,0,0,0,0
keysvc.cs.roku.com,0,0,0,0,0,0
lcc-prodsf-lcc01sf-iothub.azure-devices.net,0,0,0,0,0,0
log.eu.xiaoyi.com,0,0,0,0,0,0
ls.cti.roku.com,0,0,0,0,0,0
m1.ubia.cn,0,0,0,0,0,0
m2.tuyaus.com,0,0,0,0,0,0
m2.ubia.cn,0,0,0,0,0,0
m3.ubia.cn,0,0,0,0,0,0
m4.ubia.cn,0,0,0,0,0,0
mhc8806us.magichue.net,0,0,0,0,0,0
motiondetection-eu.oss-eu-central-1.aliyuncs.com,0,0,0,0,0,0
mq.gw.tuyaeu.com,0,0,0,0,0,0
mq.gw.tuyaus.com,0,0,0,0,0,0
n-deventry.tplinkcloud.com,0,0,0,0,0,0
n-devs.tplinkcloud.com,0,0,0,0,0,0
netcom.netatmo.net,0,0,0,0,0,0
ntp1.dlink.com,0,0,0,0,0,0
ot.io.mi.com,0,0,0,0,0,0
ott.io.mi.com,0,0,0,0,0,0
p2p3.nwsvr2.com,0,0,0,0,0,0
p2p4.nwsvr2.com,0,0,0,0,0,0
p2p.amcrestview.com,0,0,0,0,0,0
p2p.reolink.com,0,0,0,0,0,0
pc.anovaculinary.com,0,0,0,0,0,0
pnp.microseven.com,0,0,0,0,0,0
pprtp.iruntop.com,0,0,0,0,0,0
prd17a.boxen.electricimp.com,0,0,0,0,0,0
prd19a.boxen.electricimp.com,0,0,0,0,0,0
provprod.clouddevice.io,0,0,0,0,0,0
pub-cfg.secu100.net,0,0,0,0,0,0
pushx.reolink.com,0,0,0,0,0,0
query.jingxuncloud.com,0,0,0,0,0,0
r0801.dch.dlink.com,0,0,0,0,0,0
r0802.dch.dlink.com,0,0,0,0,0,0
r0803.dch.dlink.com,0,0,0,0,0,0
rest-hw-prde.immedia-semi.com,0,0,0,0,0,0
rest-hw-u002.immedia-semi.com,0,0,0,0,0,0
retail-prod.web.roku.com,0,0,0,0,0,0
rss-dpd-service.ring.com,0,0,0,0,0,0
rtp3.runtopcam.com,0,0,0,0,0,0
scribe.logs.roku.com,0,0,0,0,0,0
secure.brillion.geappliances.com,0,0,0,0,0,0
srmp01lb02.ch.pub.arrayent.com,0,0,0,0,0,0
srmp02lb02.us.pub.arrayent.com,0,0,0,0,0,0
time.meethue.com,0,0,0,0,0,0
tis.cti.roku.com,0,0,0,0,0,0
tzinfo.dch.dlink.com,0,0,0,0,0,0
us.cloud.sengled.com,0,0,0,0,0,0
use1-api.tplinkra.com,0,0,0,0,0,0
us-life2.cloud.sengled.com,0,0,0,0,0,0
ws.meethue.com,0,0,0,0,0,0
wu.ring.com,0,0,0,0,0,0
www.ecdinterface.philips.com,0,0,0,0,0,0
www-roku.mgo.com,0,0,0,0,0,0
xmpp14.wca.geappliances.com,0,0,0,0,0,0
